site_name,site_code,in_out_avg,nh4_in_avg,nh4_out_avg,nh4_avg,latitude,longitude
Ross Islet Slug Island,KCCA1,0.24689549542894262,1.073412975373664,0.8265174799447215,0.9499652276591928,48.87039,-125.1599
Between Scotts and Bradys,KCCA2,-0.2967760021880161,0.8466897259665865,1.1434657281546028,0.9950777270605946,48.83287,-125.1493
Dodger Channel 1,KCCA3,-0.035243195022964725,0.8391274903070222,0.874370685329987,0.8567490878185046,48.83072,-125.19439
Flemming 112,KCCA4,-0.046410668842145064,1.1400259447744518,1.186436613616597,1.1632312791955244,48.87868,-125.1434
Less Dangerous Bay,KCCA6,-0.35109120867437504,0.0991778958326397,0.45026910450701474,0.2747235001698272,48.87535,-125.0915
Ed King East Inside,KCCA7,0.33338827488596307,1.7616594327933617,1.4282711579073986,1.5949652953503801,48.83608,-125.2131
Wizard Islet South,KCCA9,0.16300104248724545,0.7212643168542077,0.5582632743669622,0.6397637956105849,48.85728,-125.1595
North Helby Rock,KCCA12,0.3275380405119125,0.7732097309439885,0.44567169043207594,0.6094407106880322,48.85831,-125.1649
Danvers Danger Rock,KCCA14,0.22166296871936217,0.6428433892617902,0.421180420542428,0.532011904902109,48.877,-125.0923
Cable Beach (Blow Hole),KCCA15,0.12250427732562912,1.0731269387521674,0.9506226614265383,1.011874800089353,48.82484,-125.16067
Tzartus 116,KCCA16,0.04788245775534218,0.8788170318151952,0.830934574059853,0.8548758029375241,48.90084,-125.0811
Turf Island 2,KCCA17,0.2844507141046042,0.6026622257828163,0.3182115116782121,0.4604368687305142,48.884864,-125.146937
Second Beach,KCCA18,0.6277960505223167,1.997615215436819,1.3698191649145024,1.6837171901756607,48.815969,-125.174
Wizard Islet North,KCCA19,-0.028867522016906268,1.0762779010437573,1.1051454230606637,1.0907116620522106,48.85916,-125.15908
Bordelais Island,KCCA21,0.1509435751244414,2.9913080356166852,2.840364460492244,2.9158362480544646,48.81822,-125.2294516
Taylor Rock,KCCA22,0.21232871868110417,1.2520779937162207,1.0397492750351165,1.1459136343756686,48.82721,-125.19717
